公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,信義區雅祥段三小段790地號,28.16,信義區雅祥段三小段2447建號（含共同使用部分及停車位編號19、137）,202.54,信義區永吉路30巷101弄31號4樓,58210000,58685000,已標脫
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2457建號（含共同使用部分及停車位編號104、226）,202.54,信義區永吉路30巷101弄31號9樓,62750000,66281680,已標脫
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,信義區雅祥段三小段790地號,28.86,信義區雅祥段三小段2459建號（含共同使用部分及停車位編號128、227）,202.54,信義區永吉路30巷101弄31號10樓,63270000,68568800,已標脫
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,信義區士林區福林路70號2樓之2,42446000,─,再標售
1040529,公開標售臺北市信義區永吉路30巷101弄23號4樓等8戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,信義區士林區福林路70號3樓之2,42020000,─,再標售
1030826,公開標售臺北市信義區永吉路30巷101巷31號3樓等3戶市有房地,信義區雅祥段三小段790地號,28.37,信義區雅祥段三小段2445建號（含共同使用部分及停車位編號42、147）,197.19,信義區永吉路30巷101弄31號3樓,58530000,58531880,已標脫
1030826,公開標售臺北市信義區永吉路30巷101巷31號3樓等3戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,士林區福林路70號2樓之2,42446000,─,再標售
1030826,公開標售臺北市信義區永吉路30巷101巷31號3樓等3戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,士林區福林路70號3樓之2,42020000,─,再標售
1040721,公開標售臺北市松山區南京東路五段66巷22弄32號4樓1戶高雄市臺北市共有房地及士林區福林路100巷70號2樓之2、3樓2、4樓等3戶市有房地,松山區西松段二小段650-1地號,23.82,松山區西松段二小段2344建號（含共同使用部分）,143.14,松山區南京東路五段66巷22弄32號4樓,27800000,─,再標售
1040721,公開標售臺北市松山區南京東路五段66巷22弄32號4樓1戶高雄市臺北市共有房地及士林區福林路100巷70號2樓之2、3樓2、4樓等3戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,士林區福林路70號2樓之2,40322000,─,再標售
1040721,公開標售臺北市松山區南京東路五段66巷22弄32號4樓1戶高雄市臺北市共有房地及士林區福林路100巷70號2樓之2、3樓2、4樓等3戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,士林區福林路70號3樓之2,40490000,─,再標售
1040721,公開標售臺北市松山區南京東路五段66巷22弄32號4樓1戶高雄市臺北市共有房地及士林區福林路100巷70號2樓之2、3樓2、4樓等3戶市有房地,士林區福林段二小段594地號,83.47,士林區福林段二小段20355建號（含共同使用部分及停車位編號30）,216.42,士林區福林路70號4樓,41308000,─,再標售
1050115,公開標售臺北市松山區南京東路五段66巷22弄32號4樓1戶高雄市臺北市共有房地及中山區民生東路二段1號10樓之2、10樓之3等2戶市有房地,松山區西松段二小段650-1地號,23.82,松山區西松段二小段2344建號（含共同使用部分）,143.14,松山區南京東路五段66巷22弄32號4樓,27800000,─,再標售
1050115,公開標售臺北市松山區南京東路五段66巷22弄32號4樓1戶高雄市臺北市共有房地及中山區民生東路二段1號10樓之2、10樓之3等2戶市有房地,中山區吉林段三小段1063、1064地號,28.89,中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,236.54,中山區民生東路二段1號10樓之2,62507800,─,再標售
1050115,公開標售臺北市松山區南京東路五段66巷22弄32號4樓1戶高雄市臺北市共有房地及中山區民生東路二段1號10樓之2、10樓之3等2戶市有房地,中山區吉林段三小段1063、1064地號,20.86,中山區吉林段三小段5421建號（含共同使用部分及停車位編號80）,184.27,中山區民生東路二段1號10樓之3,47182300,─,再標售
1050530,公開標售臺北市萬華區萬大路344巷36號13樓之1(包含2停車位)市有房地,萬華區萬大段二小段602地號,29.61,萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,302.49,萬華區萬大路344巷36號13樓之1,48651600,─,再標售
1050729,公開標售臺北市士林區福林路100巷70號3樓之2、3樓之2、4樓等3戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,士林區福林路70號2樓之2,36684000,─,再標售
